"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
57,"0","2","1",838333,"6","2",36,"2","1","0","5",48,780000,3791.66674804688,780000,0,3791.66674804688,780000,3791.66674804688,"1","0",1131978.87310825,13.6391706752335
24,"0","2","0",6e+05,"6","3",24,"2","1","1","2",16,6e+05,8750,6e+05,1117460.30167986,8750,6e+05,8750,"0","0",1131978.87310825,13.3046849341983
24,"0","2","1",8e+05,"5","9",11,"2","1","1","3",48,1556199.65547918,7945.64299169031,1745416.3438112,0,8822.22934101255,1617550.51747336,8541.87432821598,"0","0",1131978.87310825,13.5923670066501
20,"0","2","1",737717,"7","3",7,"2","1","0","4",48,737717,3586.12426757812,737717,1117460.30167986,3586.12426757812,737717,3586.12426757812,"1","0",1131978.87310825,13.5113155612049
42,"1","3","1",5050000,"7","1",10,"2","4","0","5",8,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","1",1636072.34663713,15.4348988012515
57,"1","2","1",1620000,"5","1",120,"2","4","0","1",32,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,8e+05,5833.33349609375,"1","1",1131978.87310825,14.2979367072086
42,"0","2","0",737717,"5","3",18,"2","1","1","2",50,737717,3442.67944335938,737717,1117460.30167986,3442.67944335938,737717,3442.67944335938,"0","0",1131978.87310825,13.5113155612049
25,"0","2","1",1274806.66666667,"6","3",30,"2","1","1","5",48,1100000,5347.22216796875,1274806.625,1100000,6196.9765625,1274806.625,6196.9765625,"0","0",1131978.87310825,14.0583050910901
58,"0","3","1",2333333.33333333,"7","2",132,"2","2","0","5",30,2e+06,15555.5556640625,2333333.25,2e+06,18148.1484375,2333333.25,18148.1484375,"1","0",1636072.34663713,14.6628084183515
46,"0","2","1",2600000,"6","1",72,"2","1","1","4",50,2100000,9800,2600000,1117460.30167986,12133.3330078125,2600000,12133.3330078125,"0","1",1131978.87310825,14.7710220029917
54,"1","2","0",5e+05,"5","1",240,"2","4","1","1",5,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,5e+05,23333.333984375,"0","1",1131978.87310825,13.1223633774043
25,"0","2","1",950000,"6","3",1,"2","1","1","5",48,950000,4618.0556640625,950000,0,4618.0556640625,950000,4618.0556640625,"0","0",1131978.87310825,13.7642172635767
31,"0","3","1",2166666.66666667,"7","1",24,"2","1","0","5",48,2e+06,9722.22265625,2166666.75,2e+06,10532.408203125,2166666.75,10532.408203125,"1","1",1636072.34663713,14.5887004461978
23,"0","3","1",1599806.66666667,"7","2",12,"2","1","0","5",45,1400000,7259.25927734375,1599806.625,1400000,8295.2939453125,1599806.625,8295.2939453125,"1","0",1636072.34663713,14.2853933465757
25,"0","3","1",903140,"7","1",3,"2","1","1","3",40,8e+05,4666.66650390625,903140,240000,5268.31689453125,903140,5268.31689453125,"0","1",1636072.34663713,13.7136328591415
26,"0","2","0",1200000,"6","1",24,"2","1","1","2",48,1200000,5833.33349609375,1200000,1117460.30167986,5833.33349609375,1200000,5833.33349609375,"0","1",1131978.87310825,13.9978321147582
31,"0","3","1",4500000,"7","1",36,"2","5","1","2",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,4500000,21875,"0","1",1636072.34663713,15.3195879547405
35,"0","3","1",4441000,"7","2",84,"2","1","0","5",48,4066000,19765.27734375,4441000,4500000,21588.1953125,4441000,21588.1953125,"1","0",1636072.34663713,15.3063901342742
52,"0","2","1",1166473.33333333,"5","1",96,"2","1","1","5",48,1e+06,4861.111328125,1166473.375,1e+06,5670.3564453125,1166473.375,5670.3564453125,"0","1",1131978.87310825,13.9694955097737
51,"0","2","1",882333.416666667,"5","2",24,"2","1","0","5",48,737717,3586.12426757812,882333.4375,737717,4289.12109375,882333.4375,4289.12109375,"1","0",1131978.87310825,13.6903252869877
